trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1346,False,"{'a': 0.3, 'e': 0.723882545976745}",25,3,-77.01592236994456,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 2}",1
1347,False,"{'a': 0.3, 'e': 0.72290781806548}",20,0,-110.09414434079167,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
1348,False,"{'a': 0.3, 'e': 0.7219328672464157}",20,0,-137.00464441739487,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
1349,False,"{'a': 0.3, 'e': 0.7209576944945024}",30,0,-111.05895135124312,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
1350,False,"{'a': 0.3, 'e': 0.7199823007849133}",30,0,-169.27639435402688,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
1351,False,"{'a': 0.3, 'e': 0.7190066870930415}",20,0,-109.43020738159824,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
1352,False,"{'a': 0.3, 'e': 0.7180308543945011}",20,14,-10.973130114526253,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
1353,False,"{'a': 0.3, 'e': 0.7170548036651242}",20,0,-79.82411866387216,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
1354,False,"{'a': 0.3, 'e': 0.716078535880962}",20,13,1.1810322983875408,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1355,False,"{'a': 0.3, 'e': 0.7151020520182817}",35,12,-14.572671299305949,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 0}",1
1356,False,"{'a': 0.3, 'e': 0.7141253530535675}",20,0,1.6226224182756175,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
1357,False,"{'a': 0.3, 'e': 0.7131484399635178}",20,0,-111.52632222003103,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
